Kanji,StrokeCount,MeaningOne,MeaningTwo,MeaningThree,MeaningFour,MeaningFive,MeaningSix,MeaningSeven,MeaningEight,MeaningNine,MeaningTen
捷,11,victory,fast,,,,,,,,
昇,8,rise,,,,,,,,,
昌,8,prosperous,bright,clear,,,,,,,
昭,9,shining,bright,,,,,,,,
晶,12,sparkle,clear,crystal,,,,,,,
松,8,pine,,,,,,,,,
梢,11,treetops,twig,,,,,,,,
樟,15,camphor,,,,,,,,,
樵,16,woodcutting,lumberjack,,,,,,,,
沼,8,marsh,lake,bog,swamp,pond,,,,,
消,10,extinguish,blow,turn,neutralize,cancel,,,,,
渉,11,ford,go,transit,ferry,import,involve,,,,
湘,12,name,the,,,,,,,,
焼,12,bake,burning,,,,,,,,
焦,12,char,hurry,impatient,irritate,burn,scorch,singe,,,
照,13,illuminate,shine,compare,bashful,,,,,,
症,10,symptoms,illness,,,,,,,,
省,9,focus,government,conserve,,,,,,,
硝,12,nitrate,saltpeter,,,,,,,,
礁,17,reef,sunken,,,,,,,,
祥,10,auspicious,happiness,blessedness,good,good,,,,,
称,10,appellation,praise,admire,name,title,fame,,,,
章,11,badge,chapter,composition,poem,design,,,,,
笑,10,laugh,,,,,,,,,
粧,12,cosmetics,adorn,,,,,,,,
紹,11,introduce,inherit,help,,,,,,,
肖,7,resemblance,,,,,,,,,
菖,11,iris,,,,,,,,,
蒋,13,reed,,,,,,,,,
蕉,15,banana,plantain,,,,,,,,
衝,15,collide,brunt,highway,opposition,thrust,pierce,stab,prick,,
裳,14,skirt,,,,,,,,,
訟,11,sue,accuse,,,,,,,,
証,12,evidence,proof,certificate,,,,,,,
詔,12,imperial,,,,,,,,,
詳,13,detailed,full,minute,accurate,well-informed,,,,,
象,12,elephant,pattern,imitate,image,shape,sign,,,,
賞,15,prize,reward,praise,,,,,,,
醤,17,a,,,,,,,,,
鉦,13,bell,gong,chimes,,,,,,,
鍾,17,spindle,gather,collect,,,,,,,
鐘,20,bell,gong,chimes,,,,,,,
障,14,hinder,hurt,harm,,,,,,,
鞘,16,sheath,case,margin,difference,shells,,,,,
上,3,above,up,,,,,,,,
丈,3,length,ten,measure,Mr.,Ms.,height,stature,all,only,that's
丞,6,help,,,,,,,,,
乗,9,ride,power,multiplication,record,counter,board,mount,join,,
冗,4,superfluous,uselessness,,,,,,,,
剰,11,surplus,besides,,,,,,,,
城,9,castle,,,,,,,,,
場,12,location,place,,,,,,,,
壌,16,lot,earth,soil,,,,,,,
嬢,16,lass,girl,Miss,daughter,,,,,,
常,11,usual,ordinary,normal,common,regular,continually,always,long-lasting,,
情,11,feelings,emotion,passion,sympathy,circumstances,facts,,,,
擾,18,disturb,throw,,,,,,,,
条,7,article,clause,counter,clauses,paragraphs,etc.,twig,item,stripe,streak
杖,7,staff,cane,,,,,,,,
浄,9,clean,purify,cleanse,exorcise,Manchu,,,,,
状,7,status,conditions,circumstances,form,appearance,,,,,
畳,12,tatami,counter,fold,shut,do,,,,,
穣,18,good,prosperity,10**28,,,,,,,
蒸,13,steam,heat,sultry,foment,get,,,,,
譲,20,defer,turnover,transfer,convey,,,,,,
醸,20,brew,cause,,,,,,,,
錠,16,lock,fetters,shackles,,,,,,,
嘱,15,entrust,request,send,,,,,,,
埴,11,clay,,,,,,,,,
飾,13,decorate,ornament,adorn,embellish,,,,,,
植,12,plant,,,,,,,,,
殖,12,augment,increase,multiply,raise,,,,,,
燭,17,light,candlepower,,,,,,,,
織,18,weave,fabric,,,,,,,,
職,18,post,employment,work,,,,,,,
色,6,color,,,,,,,,,
触,13,contact,touch,feel,hit,proclaim,announce,conflict,,,
食,9,eat,food,,,,,,,,
蝕,14,eclipse,occultation,be,,,,,,,
辱,10,embarrass,humiliate,shame,,,,,,,
尻,5,buttocks,hips,butt,rear,,,,,,
伸,7,expand,stretch,extend,lengthen,increase,,,,,
信,9,faith,truth,fidelity,trust,,,,,,
侵,9,encroach,invade,raid,trespass,violate,,,,,
唇,10,lips,,,,,,,,,
娠,10,with,pregnancy,,,,,,,,
寝,13,lie,sleep,rest,bed,remain,,,,,
審,15,hearing,judge,trial,,,,,,,
心,4,heart,mind,spirit,heart,,,,,,
慎,13,humility,be,discreet,prudent,,,,,,
振,10,shake,wave,wag,swing,,,,,,
新,13,new,,,,,,,,,
晋,10,advance,,,,,,,,,
森,12,forest,woods,,,,,,,,
榛,14,hazelnut,filbert,,,,,,,,
浸,10,immersed,soak,dip,steep,moisten,wet,dunk,,,
深,11,deep,heighten,intensify,strengthen,,,,,,
申,5,have,sign,3-5PM,ninth,,,,,,
疹,10,measles,sickness,,,,,,,,
真,10,true,reality,Buddhist,,,,,,,
神,9,gods,mind,soul,,,,,,,
秦,10,Manchu,name,,,,,,,,
紳,11,sire,good,gentleman,,,,,,,
臣,7,retainer,subject,,,,,,,,
芯,7,wick,,,,,,,,,
薪,16,fuel,firewood,kindling,,,,,,,
親,16,parent,intimacy,relative,familiarity,dealer,,,,,
診,12,checkup,seeing,diagnose,examine,,,,,,
身,7,somebody,person,one's,,,,,,,
辛,7,spicy,bitter,hot,acrid,,,,,,
進,11,advance,proceed,progress,promote,,,,,,
針,10,needle,pin,staple,stinger,,,,,,
震,15,quake,shake,tremble,quiver,shiver,,,,,
人,2,person,,,,,,,,,
仁,4,humanity,virtue,benevolence,charity,man,kernel,,,,
刃,3,blade,sword,edge,,,,,,,
塵,14,dust,trash,garbage,,,,,,,
壬,4,9th,,,,,,,,,
尋,12,inquire,fathom,look,,,,,,,
甚,9,tremendously,very,great,exceedingly,,,,,,
尽,6,exhaust,use,run,deplete,befriend,serve,,,,
腎,13,kidney,,,,,,,,,
訊,10,request,question,investigate,,,,,,,
迅,6,swift,fast,,,,,,,,
陣,10,camp,battle,ranks,position,sudden,brief,,,,
靭,12,soft,pliable,quiver,,,,,,,
笥,11,lunch,clothes,,,,,,,,
諏,15,consult,,,,,,,,,
須,12,ought,by,necessarily,,,,,,,
酢,12,vinegar,sour,acid,tart,,,,,,
図,7,map,drawing,plan,extraordinary,audacious,,,,,
厨,12,kitchen,,,,,,,,,
逗,10,stop,,,,,,,,,
吹,7,blow,breathe,puff,emit,smoke,,,,,
垂,8,droop,suspend,hang,slouch,,,,,,
帥,9,commander,leading,governor,,,,,,,
推,11,conjecture,infer,guess,suppose,support,push,,,,
水,4,water,,,,,,,,,
炊,8,cook,boil,,,,,,,,
睡,13,drowsy,sleep,die,,,,,,,
粋,10,chic,style,purity,essence,pith,cream,elite,choice,,
翠,14,green,kingfisher,,,,,,,,
衰,10,decline,wane,weaken,,,,,,,
遂,12,consummate,accomplish,attain,commit,,,,,,
酔,11,drunk,feel,poisoned,elated,spellbound,,,,,
錐,16,auger,drill,awl,pyramid,cone,,,,,
錘,16,weight,plumb,sinker,spindle,,,,,,
随,12,follow,though,notwithstanding,while,during,both,all,obey,submit,comply
瑞,13,congratulations,,,,,,,,,
髄,19,marrow,pith,essence,,,,,,,
崇,11,adore,respect,revere,worship,,,,,,
嵩,13,be,grow,grow,swell,,,,,,
数,13,number,strength,fate,law,figures,,,,,
枢,8,hinge,pivot,door,center,,,,,,
趨,17,run,go,quick,tend,,,,,,
雛,18,chick,squab,duckling,doll,,,,,,
据,11,set,lay,install,equip,squat,sit,,,,
杉,7,cedar,cryptomeria,,,,,,,,
椙,12,Japanese,cryptomeria,(kokuji),,,,,,,
菅,11,sedge,,,,,,,,,
頗,14,prejudiced,exceedingly,,,,,,,,
雀,11,sparrow,,,,,,,,,
裾,13,cuff,hem,foot,,,,,,,
摺,14,rub,fold,print,,,,,,,
寸,3,measurement,tenth,a,small,,,,,,
世,5,generation,world,society,public,,,,,,
瀬,19,rapids,current,torrent,shallows,shoal,,,,,
畝,10,furrow,thirty,ridge,rib,,,,,,
是,9,just,this,right,justice,,,,,,
凄,10,uncanny,weird,threatening,horrible,,,,,,
制,8,system,law,rule,,,,,,,
勢,13,forces,energy,military,,,,,,,
姓,8,surname,,,,,,,,,
征,8,subjugate,attack,collect,,,,,,,
性,8,sex,gender,nature,,,,,,,
成,6,turn,become,get,grow,elapse,reach,,,,
政,9,politics,government,,,,,,,,
整,16,organize,arranging,tune,tone,meter,key,,,,
星,9,star,spot,dot,mark,,,,,,
晴,12,clear,,,,,,,,,
棲,12,live,dwell,,,,,,,,
栖,10,nest,rookery,hive,cobweb,den,,,,,
正,5,correct,justice,righteous,10**40,,,,,,
清,11,pure,purify,cleanse,exorcise,Manchu,,,,,
牲,9,animal,offering,,,,,,,,
生,5,life,genuine,birth,,,,,,,
盛,11,boom,prosper,copulate,,,,,,,
精,14,refined,ghost,fairy,energy,vitality,semen,excellence,purity,skill,
聖,13,holy,saint,sage,master,priest,,,,,
声,7,voice,,,,,,,,,
製,14,made,manufacture,,,,,,,,
西,6,west,Spain,,,,,,,,
誠,13,sincerity,admonish,warn,prohibit,truth,fidelity,,,,
誓,14,vow,swear,pledge,,,,,,,
請,15,solicit,invite,ask,,,,,,,
逝,10,departed,die,,,,,,,,
醒,16,awake,be,sober,,,,,,,
青,8,blue,green,,,,,,,,
静,14,quiet,,,,,,,,,
斉,8,adjusted,alike,equal,similar,,,,,,
税,12,tax,duty,,,,,,,,
脆,10,brittle,fragile,easy,sentimental,susceptible,,,,,
隻,10,vessels,counter,fish,birds,arrows,one,,,,
席,10,seat,mat,occasion,place,,,,,,
惜,11,pity,be,frugal,stingy,regret,,,,,
戚,11,grieve,relatives,,,,,,,,
斥,5,reject,retreat,recede,withdraw,repel,repulse,,,,
昔,8,once,antiquity,old,,,,,,,
析,8,chop,divide,tear,analyze,,,,,,
石,5,stone,,,,,,,,,
積,16,volume,product,acreage,contents,pile,stack,load,amass,,
籍,20,enroll,domiciliary,membership,,,,,,,
績,17,exploits,achievements,unreeling,,,,,,,
脊,10,stature,height,,,,,,,,
責,11,blame,condemn,censure,,,,,,,
赤,7,red,,,,,,,,,
跡,13,tracks,mark,print,impression,,,,,,
蹟,18,remains,traces,footprint,,,,,,,
碩,14,large,great,eminent,,,,,,,
切,4,cut,cutoff,be,,,,,,,
拙,8,bungling,clumsy,unskillful,,,,,,,
接,11,touch,contact,adjoin,piece,,,,,,
摂,13,vicarious,surrogate,act,take,absorb,,,,,
折,7,fold,break,fracture,bend,yield,submit,,,,
設,11,establishment,provision,prepare,,,,,,,
窃,9,stealth,steal,secret,private,hushed,,,,,
節,13,node,season,period,occasion,verse,clause,stanza,honor,joint,knuckle
説,14,opinion,theory,explanation,rumor,,,,,,
雪,11,snow,,,,,,,,,
絶,12,discontinue,sever,cut,abstain,interrupt,suppress,be,without,peerless,unparalleled
舌,6,tongue,reed,clapper,,,,,,,
蝉,15,cicada,,,,,,,,,
仙,5,hermit,wizard,cent,,,,,,,
先,6,before,ahead,previous,future,precedence,,,,,
千,3,thousand,,,,,,,,,
占,5,fortune-telling,divining,forecasting,occupy,hold,have,get,take,,
宣,9,proclaim,say,announce,,,,,,,
専,9,specialty,exclusive,mainly,solely,,,,,,
尖,6,be,sharp,taper,displeased,angry,edgy,,,,
川,3,stream,river,river,,,,,,,
戦,13,war,battle,match,,,,,,,
扇,10,fan,folding,,,,,,,,
撰,15,composing,editing,compiling,selecting,,,,,,
栓,10,plug,bolt,cork,bung,stopper,,,,,
栴,10,maple,colorful,,,,,,,,
泉,9,spring,fountain,,,,,,,,
浅,9,shallow,superficial,frivolous,wretched,shameful,,,,,
洗,9,wash,inquire,probe,,,,,,,
染,9,dye,color,paint,stain,print,,,,,
潜,15,submerge,conceal,hide,lower,hush,,,,,
煎,13,broil,parch,roast,boil,,,,,,
煽,14,fan,flap,instigate,agitate,bolster,gulp,,,,
旋,11,rotation,go,,,,,,,,
穿,10,put,dig,pierce,drill,,,,,,
箭,15,arrow,,,,,,,,,
線,15,line,track,,,,,,,,
羨,13,envious,be,covet,,,,,,,
腺,13,gland,(kokuji),,,,,,,,
舛,6,dancing,,,,,,,,,
船,11,ship,boat,,,,,,,,
薦,16,recommend,mat,advise,encourage,offer,,,,,
詮,13,discussion,methods,selection,result,,,,,,
賎,13,despise,low-life,poverty,,,,,,,
践,13,tread,step,trample,practice,carry,,,,,
選,15,elect,select,choose,prefer,,,,,,
遷,15,transition,move,change,,,,,,,
銭,14,coin,.01,money,,,,,,,
銑,14,pig,,,,,,,,,
閃,10,flash,brandish,,,,,,,,
鮮,17,fresh,vivid,clear,brilliant,Korea,,,,,
前,9,in,before,,,,,,,,
善,12,virtuous,good,goodness,,,,,,,
漸,14,steadily,gradually,finally,barely,,,,,,
然,12,sort,so,if,in,well,,,,,
全,6,whole,entire,all,complete,fulfill,,,,,
禅,13,Zen,silent,,,,,,,,
繕,18,darning,repair,mend,trim,tidy,adjust,,,,
膳,16,small,tray,,,,,,,,
糎,15,centimeter,(kokuji),,,,,,,,
噌,14,boisterous,,,,,,,,,
塑,13,model,molding,,,,,,,,
岨,8,a,,,,,,,,,
措,11,set,give,suspend,discontinue,lay,except,,,,
曾,12,once,before,formerly,ever,never,ex-,,,,
曽,11,formerly,once,before,ever,never,ex-,,,,
楚,13,whip,cane,,,,,,,,
狙,8,aim,sight,shadow,stalk,,,,,,
疏,12,pass,note,commentary,estrangement,sparseness,neglect,penetrate,,,
疎,12,alienate,rough,neglect,shun,sparse,penetrate,,,,
礎,18,cornerstone,foundation,,,,,,,,
祖,9,ancestor,pioneer,founder,,,,,,,
租,10,tariff,crop,borrowing,,,,,,,
粗,11,coarse,rough,rugged,,,,,,,
素,10,elementary,principle,naked,uncovered,,,,,,
組,11,association,braid,plait,construct,assemble,unite,cooperate,grapple,,
蘇,19,be,revived,perilla,shiso,,,,,,
訴,12,accusation,sue,complain,appeal,,,,,,
阻,8,thwart,separate,prevent,obstruct,deter,impede,,,,
遡,13,go,retrace,,,,,,,,
鼠,13,rat,mouse,dark,,,,,,,
僧,13,Buddhist,monk,,,,,,,,
創,12,genesis,wound,injury,hurt,start,originate,,,,
双,4,pair,set,comparison,counter,,,,,,
叢,18,plexus,clump,thicket,,,,,,,
倉,10,godown,warehouse,storehouse,cellar,treasury,,,,,
喪,12,miss,mourning,,,,,,,,
壮,6,robust,manhood,prosperity,,,,,,,
奏,9,play,speak,complete,,,,,,,
爽,11,refreshing,bracing,resonant,sweet,clear,,,,,
宋,7,dwell,Sung,,,,,,,,
層,14,stratum,social,layer,story,floor,,,,,
匝,5,go,,,,,,,,,
惣,12,all,,,,,,,,,
想,13,concept,think,idea,thought,,,,,,
捜,10,search,look,locate,,,,,,,
掃,11,sweep,brush,,,,,,,,
挿,10,insert,put,graft,wear,,,,,,
掻,11,scratch,rake,comb,paddle,behead,,,,,
操,16,maneuver,manipulate,operate,steer,chastity,virginity,fidelity,,,
早,6,early,fast,,,,,,,,
曹,11,office,official,comrade,fellow,,,,,,
巣,11,nest,rookery,hive,cobweb,den,,,,,
槍,14,spear,lance,javelin,,,,,,,
槽,15,vat,tub,tank,,,,,,,
漕,14,rowing,scull,paddle,,,,,,,
燥,17,parch,dry,,,,,,,,
争,6,contend,dispute,argue,,,,,,,
痩,12,get,,,,,,,,,
相,9,inter-,mutual,together,each,minister,councillor,aspect,phase,physiognomy,
窓,11,window,pane,,,,,,,,
糟,17,dregs,sediment,grounds,,,,,,,
総,14,general,whole,all,full,total,,,,,
綜,14,rule,synthesize,,,,,,,,
聡,14,wise,fast,,,,,,,,
草,9,grass,weeds,herbs,pasture,write,draft,,,,
荘,9,villa,inn,cottage,feudal,solemn,dignified,,,,
葬,12,interment,bury,shelve,,,,,,,
蒼,13,blue,pale,,,,,,,,
藻,19,seaweed,duckweed,,,,,,,,
装,12,attire,dress,pretend,disguise,profess,,,,,
走,7,run,,,,,,,,,
送,9,escort,send,,,,,,,,
遭,14,encounter,meet,party,association,interview,join,,,,
鎗,18,spear,lance,javelin,,,,,,,
霜,17,frost,,,,,,,,,
騒,18,boisterous,make,clamor,disturb,excite,,,,,
像,14,statue,picture,image,figure,portrait,,,,,
増,14,increase,add,augment,gain,promote,,,,,
憎,14,hate,detest,,,,,,,,
蔵,15,storehouse,hide,own,have,possess,,,,,
贈,18,presents,send,give,award,confer,presenting,,,,
造,10,create,make,structure,physique,,,,,,
促,9,stimulate,urge,press,demand,incite,,,,,
側,11,side,lean,oppose,regret,,,,,,
則,9,rule,law,follow,based,model,,,,,
即,7,instant,namely,as,conform,agree,adapt,,,,
息,10,breath,respiration,son,interest,nuture,rest,coming,,,
捉,10,catch,capture,,,,,,,,
束,7,bundle,sheaf,ream,tie,govern,manage,control,,,
測,12,fathom,plan,scheme,measure,,,,,,
足,7,leg,foot,be,counter,,,,,,
速,10,quick,fast,,,,,,,,
俗,9,vulgar,customs,manners,worldliness,mundane,,,,,
属,12,belong,genus,subordinate,affiliated,,,,,,
賊,13,burglar,rebel,traitor,robber,,,,,,
族,11,tribe,family,,,,,,,,
続,13,continue,series,sequel,,,,,,,
卒,8,graduate,soldier,private,die,,,,,,
袖,10,sleeve,wing,extension,give,,,,,,
其,8,that,,,,,,,,,
揃,12,be,uniform,all,,,,,,,
存,6,exist,suppose,be,believe,feel,,,,,
孫,10,grandchild,descendants,,,,,,,,
尊,12,revered,valuable,precious,noble,exalted,,,,,
損,13,damage,loss,disadvantage,hurt,injure,,,,,
村,7,village,town,,,,,,,,
遜,13,humble,modest,,,,,,,,
他,5,other,another,the,,,,,,,
多,6,many,frequent,much,,,,,,,
太,4,plump,thick,big,,,,,,,
汰,7,washing,sieving,filtering,weeding,luxury,,,,,
詑,12,deceive,delude,,,,,,,,
唾,11,saliva,sputum,,,,,,,,
堕,12,degenerate,descend,lapse,,,,,,,
妥,7,gentle,peace,depravity,,,,,,,
惰,12,lazy,laziness,,,,,,,,
打,5,strike,hit,knock,pound,dozen,,,,,
柁,9,rudder,helm,wheel,,,,,,,
舵,11,rudder,helm,wheel,,,,,,,
楕,13,ellipse,,,,,,,,,
陀,8,steep,,,,,,,,,
駄,14,burdensome,pack,horse,send,trivial,worthless,,,,
騨,19,dappled,,,,,,,,,
体,7,body,substance,object,reality,counter,,,,,
堆,11,piled,,,,,,,,,
対,7,vis-a-vis,opposite,even,equal,versus,anti-,compare,,,
耐,9,-proof,enduring,,,,,,,,
岱,8,old,Taishan,,,,,,,,
帯,10,sash,belt,obi,zone,region,,,,,
待,9,wait,depend,,,,,,,,
怠,9,neglect,laziness,,,,,,,,
態,14,attitude,condition,figure,appearance,voice,,,,,
戴,17,be,live,receive,,,,,,,
替,12,exchange,spare,substitute,per-,,,,,,
泰,10,peaceful,calm,peace,easy,Thailand,extreme,excessive,great,,
滞,13,stagnate,be,overdue,arrears,,,,,,
胎,9,womb,uterus,,,,,,,,
腿,13,thigh,femur,,,,,,,,
苔,8,moss,lichen,,,,,,,,
袋,11,sack,bag,pouch,,,,,,,
貸,12,lend,,,,,,,,,
退,9,retreat,withdraw,retire,resign,repel,expel,reject,,,
逮,11,apprehend,chase,,,,,,,,
隊,12,regiment,party,company,squad,,,,,,
黛,16,blackened,,,,,,,,,
鯛,19,sea,red,,,,,,,,
代,5,substitute,change,convert,replace,period,age,counter,eras,etc.,generation
台,5,pedestal,a,counter,,,,,,,
大,3,large,big,,,,,,,,
第,11,No.,residence,,,,,,,,
醍,16,whey,good,,,,,,,,
題,18,topic,subject,,,,,,,,
鷹,24,hawk,,,,,,,,,
滝,13,waterfall,rapids,cascade,,,,,,,
瀧,19,waterfall,rapids,cascade,,,,,,,
卓,8,eminent,table,desk,high,,,,,,
啄,10,peck,pick,,,,,,,,
宅,6,home,house,residence,our,my,,,,,
托,6,requesting,entrusting,pretend,hint,,,,,,
択,7,choose,select,elect,prefer,,,,,,
拓,8,clear,open,break,,,,,,,
沢,7,swamp,marsh,brilliance,grace,,,,,,
濯,17,laundry,wash,pour,rinse,,,,,,
琢,11,polish,,,,,,,,,
託,10,consign,requesting,entrusting,pretend,hint,,,,,
鐸,21,large,,,,,,,,,
濁,16,voiced,uncleanness,wrong,nigori,impurity,,,,,
諾,15,consent,assent,agreement,,,,,,,
茸,9,mushroom,,,,,,,,,
凧,5,kite,(kokuji),,,,,,,,
蛸,13,octopus,,,,,,,,,
只,5,only,free,in,,,,,,,
但,7,however,but,,,,,,,,
達,12,accomplished,reach,arrive,attain,,,,,,
辰,7,sign,7-9AM,fifth,shin,,,,,,
奪,14,rob,take,snatch,dispossess,plunder,usurp,,,,
脱,11,undress,removing,escape,get,be,take,,,,
巽,12,southeast,,,,,,,,,
竪,14,length,height,warp,,,,,,,
辿,6,follow,pursue,,,,,,,,
棚,12,shelf,ledge,rack,mount,mantle,trellis,,,,
谷,7,valley,,,,,,,,,
狸,10,tanuki,raccoon,,,,,,,,
鱈,22,codfish,(kokuji),,,,,,,,
樽,16,barrel,cask,keg,,,,,,,
誰,15,who,someone,somebody,,,,,,,
丹,4,rust-colored,red,red,pills,sincerity,,,,,
単,9,simple,one,single,merely,,,,,,
嘆,13,sigh,lament,moan,grieve,sigh,,,,,
坦,8,level,wide,,,,,,,,
担,8,shouldering,carry,raise,bear,,,,,,
探,11,grope,search,look,,,,,,,
旦,5,daybreak,dawn,morning,,,,,,,
歎,14,grief,lamentation,,,,,,,,
淡,11,thin,faint,pale,fleeting,,,,,,
湛,12,fill,wear,clear,pure,dense,deep,,,,
炭,9,charcoal,coal,,,,,,,,
短,12,short,brevity,fault,defect,weak,,,,,
端,14,edge,origin,end,point,border,verge,cape,,,
箪,15,bamboo,,,,,,,,,
綻,14,be,ripped,unravel,run,begin,smile,,,,
耽,10,addicted,absorbed,,,,,,,,
胆,9,gall,courage,pluck,nerve,,,,,,
蛋,11,barbarian,egg,,,,,,,,
誕,15,nativity,be,declension,lie,be,,,,,
鍛,17,forge,discipline,train,,,,,,,
団,6,group,association,,,,,,,,
壇,16,podium,stage,rostrum,terrace,,,,,,
弾,12,bullet,twang,flip,snap,,,,,,
断,11,severance,decline,refuse,apologize,warn,dismiss,prohibit,decision,judgement,cutting
暖,13,warmth,,,,,,,,,
檀,17,cedar,sandlewood,spindle,,,,,,,
段,9,grade,steps,stairs,,,,,,,
男,7,male,,,,,,,,,
談,15,discuss,talk,,,,,,,,
値,10,price,cost,value,,,,,,,
知,8,know,wisdom,,,,,,,,
地,6,ground,earth,,,,,,,,
弛,6,slacken,relax,,,,,,,,
恥,10,shame,dishonor,,,,,,,,
智,12,wisdom,intellect,reason,,,,,,,
池,6,pond,cistern,pool,reservoir,,,,,,
痴,13,stupid,foolish,,,,,,,,
稚,13,immature,young,,,,,,,,
置,13,placement,put,set,deposit,leave,keep,employ,pawn,,
致,10,doth,do,send,forward,cause,exert,incur,engage,,
蜘,14,spider,,,,,,,,,
遅,12,slow,late,back,later,,,,,,
馳,13,run,gallop,sail,drive,win,despatch,,,,
築,16,fabricate,build,construct,,,,,,,
畜,10,livestock,domestic,,,,,,,,
竹,6,bamboo,,,,,,,,,
筑,12,an,,,,,,,,,
蓄,13,amass,raise,hoard,store,,,,,,
逐,10,pursue,drive,chase,accomplish,attain,commit,,,,
秩,10,regularity,salary,order,,,,,,,
窒,11,plug,obstruct,,,,,,,,
茶,9,tea,,,,,,,,,
嫡,14,legitimate,direct,,,,,,,,
着,12,don,arrive,wear,counter,,,,,,
中,4,in,inside,middle,mean,center,,,,,
仲,6,go-between,relationship,,,,,,,,
宙,8,mid-air,air,space,sky,memorization,interval,,,,
忠,8,loyalty,fidelity,faithfulness,,,,,,,
抽,8,pluck,pull,extract,excel,,,,,,
昼,9,daytime,noon,,,,,,,,
柱,9,pillar,post,cylinder,support,,,,,,
注,8,pour,irrigate,shed,flow,concentrate,notes,comment,annotate,,
虫,6,insect,bug,temper,,,,,,,
衷,9,inmost,heart,mind,inside,,,,,,
註,12,notes,comment,annotate,,,,,,,
酎,10,sake,,,,,,,,,
鋳,15,casting,mint,,,,,,,,
駐,15,stop-over,reside,resident,,,,,,,
樗,15,Japanese,,,,,,,,,
瀦,18,pool,puddle,,,,,,,,
猪,11,boar,,,,,,,,,
苧,8,hemp,flax,,,,,,,,
著,11,renowned,publish,write,remarkable,phenomenal,put,don,wear,arrival,finish
貯,12,savings,store,lay,keep,wear,,,,,
丁,2,street,ward,town,counter,tools,leaves,even,4th,,
兆,6,portent,10**12,trillion,sign,omen,symptoms,,,,
凋,10,wither,droop,lame,,,,,,,
喋,12,talk,chat,chatter,,,,,,,
寵,19,affection,love,patronage,,,,,,,
帳,11,notebook,account,album,curtain,veil,net,tent,,,
庁,5,government,,,,,,,,,
弔,4,condolences,mourning,funeral,,,,,,,
張,11,lengthen,counter,stretch,spread,put,,,,,
彫,11,carve,engrave,chisel,,,,,,,
徴,14,indications,sign,omen,symptom,collect,seek,refer,question,,
懲,18,penal,chastise,punish,discipline,,,,,,
挑,9,challenge,contend,make,,,,,,,
暢,14,stretch,,,,,,,,,
朝,12,morning,dynasty,regime,epoch,period,(North),,,,
潮,15,tide,salt,opportunity,,,,,,,
牒,13,label,genealogy,circular,,,,,,,
町,7,town,village,block,street,,,,,,
眺,11,stare,watch,look,see,scrutinize,,,,,
聴,17,listen,headstrong,naughty,careful,,,,,,
脹,12,dilate,distend,bulge,fill,swell,,,,,
腸,13,intestines,guts,bowels,viscera,,,,,,
蝶,15,butterfly,,,,,,,,,
調,15,tune,tone,meter,key,writing,prepare,exorcise,investigate,harmonize,mediate
諜,16,spy,reconnoiter,,,,,,,,
超,12,transcend,super-,ultra-,,,,,,,
跳,13,hop,leap,spring,jerk,prance,buck,splash,sputter,snap,
銚,14,sake,,,,,,,,,
長,8,long,leader,superior,senior,,,,,,
頂,11,place,receive,top,top,summit,peak,,,,
鳥,11,bird,chicken,,,,,,,,
勅,9,imperial,,,,,,,,,
捗,10,make,,,,,,,,,
直,8,straightaway,honesty,frankness,fix,repair,,,,,
朕,10,majestic,imperial,,,,,,,,
沈,7,sink,be,subside,be,aloes,,,,,
珍,9,rare,curious,strange,,,,,,,
賃,13,fare,fee,hire,rent,wages,charge,,,,
鎮,18,tranquilize,ancient,,,,,,,,
陳,11,exhibit,state,relate,explain,,,,,,
津,9,haven,port,harbor,ferry,,,,,,
墜,15,crash,fall,,,,,,,,
椎,12,chinquapin,mallet,spine,,,,,,,
槌,13,hammer,mallet,,,,,,,,
追,9,chase,drive,follow,pursue,meanwhile,,,,,
鎚,17,hammer,mallet,,,,,,,,
痛,12,pain,hurt,damage,bruise,,,,,,
通,10,traffic,pass,avenue,commute,counter,notes,documents,etc.,,
塚,12,hillock,mound,,,,,,,,
栂,9,hemlock,(kokuji),,,,,,,,
掴,11,catch,seize,grasp,hold,arrest,capture,,,,
槻,15,Zelkova,,,,,,,,,
佃,7,cultivated,,,,,,,,,
漬,14,pickling,soak,moisten,steep,,,,,,
柘,9,wild,,,,,,,,,
辻,5,crossing,crossroad,street,(kokuji),,,,,,
蔦,14,vine,ivy,,,,,,,,
綴,14,compose,spell,write,bind,,,,,,
鍔,17,sword,kettle,,,,,,,,
椿,13,camellia,,,,,,,,,
潰,15,crush,smash,break,dissipate,,,,,,
坪,8,two-mat,approx.,,,,,,,,
壷,11,jar,pot,hinge,one's,,,,,,
嬬,17,mistress,weak,,,,,,,,
紬,11,pongee,,,,,,,,,
爪,4,claw,nail,talon,,,,,,,
吊,6,suspend,hang,wear,,,,,,,
釣,11,angling,fish,catch,allure,ensnare,,,,,
鶴,21,crane,stork,,,,,,,,
亭,9,pavilion,restaurant,mansion,arbor,cottage,vaudeville,music,stage,,
低,7,lower,short,humble,,,,,,,
停,11,halt,stopping,,,,,,,,
偵,11,spy,,,,,,,,,
剃,9,shave,,,,,,,,,
貞,9,upright,chastity,constancy,righteousness,,,,,,
呈,7,display,offer,present,send,exhibit,,,,,
堤,12,dike,bank,embankment,,,,,,,
定,8,determine,fix,establish,decide,,,,,,
帝,9,sovereign,the,god,creator,,,,,,
